index,date of death,name,age,bio,cause of death,Unnamed: 5,Unnamed: 6
0,2016-01-01,Tony Lane,71,American art director (Rolling Stone), brain cancer,,
1,2016-01-01,Gilbert Kaplan,74,American conductor and businessman, cancer,,
2,2016-01-01,Brian Johns,79,"Australian company director, managing director of the Australian Broadcasting Corporation (1995–2000)", cancer,,
3,2016-01-01,Natasha Aguilar,45,"Costa Rican swimmer, silver and bronze medalist at the 1987 Pan American Games", complications of a stroke,,
4,2016-01-01,Fazu Aliyeva,83,Russian Avar poet and journalist, heart failure,,
5,2016-01-01,Mike Oxley,71,"American politician, member of the United States House of Representatives from Ohio's 4th congressional district (1981–2007)", lung cancer,,
6,2016-01-01,John Coleman Moore,92,American mathematician.,,,
7,2016-01-01,Jacques Deny,99,French mathematician.,,,
8,2016-01-01,Mark B,45,British hip-hop record producer.,,,
9,2016-01-01,George Alexandru,58,Romanian theater and film actor.,,,
10,2016-01-01,Anil Salgaocar,75,Indian executive and politician.,,,
11,2016-01-01,Homa Nategh,80,Iranian educator and historian.,,,
12,2016-01-01,Ian Pieris,82,Sri Lankan cricketer (Cambridge University Cricket Club).,,,
13,2016-01-01,Vilmos Zsigmond,85,"Hungarian-American cinematographer (Close Encounters of the Third Kind, The Deer Hunter, The Black Dahlia), Oscar winner (1978).",,,
14,2016-01-01,Antonio Carrizo,89,Argentine broadcaster.,,,
15,2016-01-01,Helmut Koester,89,German-born American history professor.,,,
16,2016-01-01,Jim Ross,89,Scottish-born Canadian ice hockey player (New York Rangers).,,,
17,2016-01-01,Dale Bumpers,90,"American politician, Governor of Arkansas (1971–1975), Senator from Arkansas (1975–1999).",,,
18,2016-01-01,Gilberto Mendes,93,Brazilian composer.,,,
19,2016-01-01,Lennie Bluett,96,"American actor (Gone with the Wind, Mighty Joe Young, A Star is Born).",,,
20,2016-01-02,Tim Francis,87,"New Zealand diplomat, Ambassador to the United States (1988–1991), Administrator of Tokelau (1984–1988)", cancer,,
21,2016-01-02,Frances Cress Welsing,80,American psychiatrist and author, complications from a stroke,,
22,2016-01-02,Ardhendu Bhushan Bardhan,91,"Indian politician, General Secretary of the Communist Party of India (1996–2012)", complications from a stroke,,
23,2016-01-02,Faris al-Zahrani,38,Saudi al-Qaeda member, execution by beheading,,
24,2016-01-02,Nimr al-Nimr,56,Saudi Shia religious leader, execution by beheading,,
25,2016-01-02,Matt Hobden,22,English cricketer (Sussex), fall,,
26,2016-01-02,Sabri Yirmibeşoğlu,87,"Turkish military officer, Secretary-General of the National Security Council (1988–1990)", kidney failure,,
27,2016-01-02,Brad Fuller,62,"American video game composer (Marble Madness, Tetris, Blasteroids), Director of Engineering for Atari (1993–1996)", pancreatic cancer,,
28,2016-01-02,Stanley Siegel,79,American talk show host, pneumonia,,
